target block,0
tree,0,correct:,829,wrong:,171,true positive,211,false positive,85,true negative,618,false negative,86,total:,1000,accuracy:,0.829,sensitivity,0.7104377104377104,specificity,0.8790896159317212
tree,1,correct:,807,wrong:,193,true positive,201,false positive,97,true negative,606,false negative,96,total:,1000,accuracy:,0.807,sensitivity,0.6767676767676768,specificity,0.8620199146514936
tree,2,correct:,826,wrong:,174,true positive,202,false positive,79,true negative,624,false negative,95,total:,1000,accuracy:,0.826,sensitivity,0.6801346801346801,specificity,0.887624466571835
tree,3,correct:,805,wrong:,195,true positive,190,false positive,88,true negative,615,false negative,107,total:,1000,accuracy:,0.805,sensitivity,0.6397306397306397,specificity,0.8748221906116643
tree,4,correct:,791,wrong:,209,true positive,183,false positive,95,true negative,608,false negative,114,total:,1000,accuracy:,0.791,sensitivity,0.6161616161616161,specificity,0.8648648648648649
forest,0,correct:,847,wrong:,153,true positive,202,false positive,58,true negative,645,false negative,95,total:,1000,accuracy:,0.847,sensitivity,0.6801346801346801,specificity,0.9174964438122333
target block,1
tree,0,correct:,806,wrong:,194,true positive,208,false positive,105,true negative,598,false negative,89,total:,1000,accuracy:,0.806,sensitivity,0.7003367003367004,specificity,0.8506401137980085
tree,1,correct:,816,wrong:,184,true positive,204,false positive,91,true negative,612,false negative,93,total:,1000,accuracy:,0.816,sensitivity,0.6868686868686869,specificity,0.8705547652916074
tree,2,correct:,797,wrong:,203,true positive,202,false positive,108,true negative,595,false negative,95,total:,1000,accuracy:,0.797,sensitivity,0.6801346801346801,specificity,0.8463726884779517
tree,3,correct:,790,wrong:,210,true positive,195,false positive,108,true negative,595,false negative,102,total:,1000,accuracy:,0.79,sensitivity,0.6565656565656566,specificity,0.8463726884779517
tree,4,correct:,786,wrong:,214,true positive,187,false positive,104,true negative,599,false negative,110,total:,1000,accuracy:,0.786,sensitivity,0.6296296296296297,specificity,0.8520625889046942
forest,1,correct:,837,wrong:,163,true positive,205,false positive,71,true negative,632,false negative,92,total:,1000,accuracy:,0.837,sensitivity,0.6902356902356902,specificity,0.89900426742532
target block,2
tree,0,correct:,761,wrong:,239,true positive,157,false positive,102,true negative,604,false negative,137,total:,1000,accuracy:,0.761,sensitivity,0.5340136054421769,specificity,0.8555240793201133
tree,1,correct:,780,wrong:,220,true positive,164,false positive,90,true negative,616,false negative,130,total:,1000,accuracy:,0.78,sensitivity,0.5578231292517006,specificity,0.8725212464589235
tree,2,correct:,761,wrong:,239,true positive,152,false positive,97,true negative,609,false negative,142,total:,1000,accuracy:,0.761,sensitivity,0.5170068027210885,specificity,0.8626062322946175
tree,3,correct:,770,wrong:,230,true positive,157,false positive,93,true negative,613,false negative,137,total:,1000,accuracy:,0.77,sensitivity,0.5340136054421769,specificity,0.8682719546742209
tree,4,correct:,753,wrong:,247,true positive,147,false positive,100,true negative,606,false negative,147,total:,1000,accuracy:,0.753,sensitivity,0.5,specificity,0.8583569405099151
forest,2,correct:,792,wrong:,208,true positive,151,false positive,65,true negative,641,false negative,143,total:,1000,accuracy:,0.792,sensitivity,0.5136054421768708,specificity,0.9079320113314447
target block,3
